id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
377144,22,Goal,0.885,0.5,0.7611688375473022,Jorginho,a,1389,Penalty,2020,RightFoot,14095,Brighton,Chelsea,1,3,2020-09-14 19:15:00,,Standard
378180,74,SavedShot,0.885,0.5,0.7611688375473022,Jorginho,h,1389,Penalty,2020,RightFoot,14102,Chelsea,Liverpool,0,2,2020-09-20 15:30:00,,Standard
380391,19,MissedShots,0.8680000305175781,0.5609999847412109,0.059103842824697495,Jorginho,h,1389,SetPiece,2020,RightFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Thiago Silva,HeadPass
380407,77,Goal,0.885,0.5,0.7611688375473022,Jorginho,h,1389,Penalty,2020,RightFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,,Standard
380408,81,Goal,0.885,0.5,0.7611688375473022,Jorginho,h,1389,Penalty,2020,RightFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,,Standard
377143,18,MissedShots,0.8619999694824219,0.43900001525878907,0.019802788272500038,Timo Werner,a,65,OpenPlay,2020,Head,14095,Brighton,Chelsea,1,3,2020-09-14 19:15:00,Mason Mount,Cross
377146,24,BlockedShot,0.889000015258789,0.6699999999999999,0.1532256007194519,Timo Werner,a,65,OpenPlay,2020,RightFoot,14095,Brighton,Chelsea,1,3,2020-09-14 19:15:00,Kai Havertz,Throughball
377151,46,SavedShot,0.9640000152587891,0.255,0.04157993942499161,Timo Werner,a,65,OpenPlay,2020,LeftFoot,14095,Brighton,Chelsea,1,3,2020-09-14 19:15:00,Mason Mount,Pass
377159,63,BlockedShot,0.904000015258789,0.5990000152587891,0.08985390514135361,Timo Werner,a,65,OpenPlay,2020,RightFoot,14095,Brighton,Chelsea,1,3,2020-09-14 19:15:00,Reece James,Cross
377161,76,BlockedShot,0.9319999694824219,0.674000015258789,0.11523915827274323,Timo Werner,a,65,OpenPlay,2020,RightFoot,14095,Brighton,Chelsea,1,3,2020-09-14 19:15:00,Ross Barkley,Pass
378171,31,MissedShots,0.7909999847412109,0.4520000076293945,0.034650567919015884,Timo Werner,h,65,OpenPlay,2020,LeftFoot,14102,Chelsea,Liverpool,0,2,2020-09-20 15:30:00,,TakeOn
379014,14,ShotOnPost,0.894000015258789,0.47599998474121097,0.4168998897075653,Timo Werner,a,65,OpenPlay,2020,RightFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Mason Mount,Pass
379016,22,SavedShot,0.914000015258789,0.5690000152587891,0.09405981749296188,Timo Werner,a,65,OpenPlay,2020,RightFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Reece James,Cross
379037,88,SavedShot,0.750999984741211,0.33599998474121096,0.018093425780534744,Timo Werner,a,65,OpenPlay,2020,RightFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Callum Hudson-Odoi,Pass
379038,91,BlockedShot,0.874000015258789,0.38,0.05541975796222687,Timo Werner,a,65,FromCorner,2020,RightFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,,None
380390,18,SavedShot,0.8730000305175781,0.36700000762939455,0.10358995199203491,Timo Werner,h,65,OpenPlay,2020,RightFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Kai Havertz,Pass
381889,7,MissedShots,0.9330000305175781,0.28900001525878904,0.05211350694298744,Timo Werner,h,65,OpenPlay,2020,LeftFoot,14475,Chelsea,Southampton,3,3,2020-10-17 14:00:00,Mason Mount,Pass
381891,14,Goal,0.870999984741211,0.5129999923706055,0.08709972351789474,Timo Werner,h,65,OpenPlay,2020,RightFoot,14475,Chelsea,Southampton,3,3,2020-10-17 14:00:00,Ben Chilwell,TakeOn
381896,28,Goal,0.9530000305175781,0.5029999923706054,0.9108996391296387,Timo Werner,h,65,OpenPlay,2020,Head,14475,Chelsea,Southampton,3,3,2020-10-17 14:00:00,,TakeOn
377160,65,Goal,0.8469999694824218,0.5070000076293946,0.04229959845542908,Kurt Zouma,a,935,FromCorner,2020,RightFoot,14095,Brighton,Chelsea,1,3,2020-09-14 19:15:00,Reece James,Cross
378181,74,SavedShot,0.8869999694824219,0.4429999923706055,0.03725865110754967,Kurt Zouma,h,935,FromCorner,2020,Head,14102,Chelsea,Liverpool,0,2,2020-09-20 15:30:00,,None
380401,58,MissedShots,0.9209999847412109,0.49,0.04782431572675705,Kurt Zouma,h,935,FromCorner,2020,Head,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Ben Chilwell,Aerial
380405,65,Goal,0.9209999847412109,0.54,0.044613152742385864,Kurt Zouma,h,935,FromCorner,2020,Head,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Ben Chilwell,Aerial
381897,30,SavedShot,0.909000015258789,0.6020000076293945,0.027485450729727745,Kurt Zouma,h,935,FromCorner,2020,Head,14475,Chelsea,Southampton,3,3,2020-10-17 14:00:00,Ben Chilwell,Cross
378184,83,SavedShot,0.8880000305175781,0.3640000152587891,0.07734470814466476,Tammy Abraham,h,702,OpenPlay,2020,RightFoot,14102,Chelsea,Liverpool,0,2,2020-09-20 15:30:00,Timo Werner,Pass
379013,11,MissedShots,0.9159999847412109,0.4640000152587891,0.36564207077026367,Tammy Abraham,a,702,OpenPlay,2020,LeftFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Reece James,Cross
379021,39,MissedShots,0.8769999694824219,0.590999984741211,0.09681133180856705,Tammy Abraham,a,702,OpenPlay,2020,RightFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Reece James,Pass
379040,92,Goal,0.965999984741211,0.5159999847412109,0.7280209064483643,Tammy Abraham,a,702,FromCorner,2020,LeftFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,,Rebound
380388,7,MissedShots,0.904000015258789,0.499000015258789,0.056147146970033646,Tammy Abraham,h,702,OpenPlay,2020,OtherBodyPart,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Jorginho,Aerial
380392,24,MissedShots,0.9080000305175782,0.5120000076293945,0.029386160895228386,Tammy Abraham,h,702,FromCorner,2020,Head,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Ben Chilwell,Aerial
380395,38,SavedShot,0.9869999694824219,0.614000015258789,0.065355584025383,Tammy Abraham,h,702,OpenPlay,2020,RightFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Jorginho,Chipped
380406,74,MissedShots,0.91,0.530999984741211,0.34702709317207336,Tammy Abraham,h,702,OpenPlay,2020,Head,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Callum Hudson-Odoi,Cross
380399,49,Goal,0.9269999694824219,0.3809999847412109,0.046974021941423416,Ben Chilwell,h,782,OpenPlay,2020,LeftFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,,Aerial
380404,64,BlockedShot,0.8219999694824218,0.2559999847412109,0.02808239497244358,Ben Chilwell,h,782,OpenPlay,2020,LeftFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Tammy Abraham,Pass
381886,2,SavedShot,0.8490000152587891,0.365,0.06347443163394928,Ben Chilwell,h,782,OpenPlay,2020,LeftFoot,14475,Chelsea,Southampton,3,3,2020-10-17 14:00:00,Christian Pulisic,Pass
379011,9,SavedShot,0.7780000305175782,0.7360000038146972,0.01663331873714924,Kai Havertz,a,5220,OpenPlay,2020,LeftFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Mason Mount,Pass
379027,56,SavedShot,0.8380000305175781,0.45499999999999996,0.08377525955438614,Kai Havertz,a,5220,OpenPlay,2020,LeftFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Mason Mount,Pass
380397,46,BlockedShot,0.740999984741211,0.490999984741211,0.020349303260445595,Kai Havertz,h,5220,OpenPlay,2020,LeftFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,César Azpilicueta,Pass
381902,58,Goal,0.9009999847412109,0.51,0.4498794376850128,Kai Havertz,h,5220,OpenPlay,2020,LeftFoot,14475,Chelsea,Southampton,3,3,2020-10-17 14:00:00,Timo Werner,Pass
381904,75,MissedShots,0.9230000305175782,0.5070000076293946,0.10719645023345947,Kai Havertz,h,5220,FromCorner,2020,Head,14475,Chelsea,Southampton,3,3,2020-10-17 14:00:00,Hakim Ziyech,Cross
379029,59,BlockedShot,0.82,0.2909999847412109,0.02557099051773548,Callum Hudson-Odoi,a,6456,OpenPlay,2020,RightFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Mason Mount,Pass
379032,69,Goal,0.88,0.37299999237060544,0.08744695782661438,Callum Hudson-Odoi,a,6456,OpenPlay,2020,RightFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Kai Havertz,Pass
380394,34,BlockedShot,0.8040000152587891,0.34599998474121096,0.029746945947408676,Callum Hudson-Odoi,h,6456,OpenPlay,2020,RightFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,,None
380403,63,BlockedShot,0.8080000305175781,0.7139999961853027,0.030292576178908348,Callum Hudson-Odoi,h,6456,OpenPlay,2020,LeftFoot,14467,Chelsea,Crystal Palace,4,0,2020-10-03 11:30:00,Kai Havertz,Pass
377152,47,MissedShots,0.740999984741211,0.510999984741211,0.010168414562940598,Mason Mount,a,7768,FromCorner,2020,RightFoot,14095,Brighton,Chelsea,1,3,2020-09-14 19:15:00,Jorginho,HeadPass
378179,67,MissedShots,0.774000015258789,0.26800003051757815,0.012450024485588074,Mason Mount,h,7768,OpenPlay,2020,RightFoot,14102,Chelsea,Liverpool,0,2,2020-09-20 15:30:00,Marcos Alonso,Pass
379015,20,SavedShot,0.9519999694824218,0.585,0.1006072536110878,Mason Mount,a,7768,OpenPlay,2020,RightFoot,14108,West Bromwich Albion,Chelsea,3,3,2020-09-26 16:30:00,Reece James,Cross
